,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypesOfSteel_A300,TypesOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scratch,Stains,Dirtiness,Bumps,Other_Faults_(Class)
64,1152,1161,969900.0,969911.0,70.0,9.0,11.0,7846.0,99,127,1632,1,0,100,0.5772,0.2929,0.8182,0.0055,1.0,1.0,1.0,1.8451,0.9542,1.0414,0.1818,-0.1243,0.2051,1,0,0,0,0,0,1
66,788,796,1060712.0,1060732.0,110.0,13.0,20.0,11126.0,84,116,1630,1,0,100,0.9669,0.3125,0.4,0.0049,0.6154,1.0,1.0,2.0414,0.9031,1.301,0.6,-0.2098,0.2792,1,0,0,0,0,0,1
67,34,40,914648.0,914661.0,51.0,8.0,13.0,5369.0,95,116,1654,1,0,100,0.0411,0.3462,0.4615,0.0036,0.75,1.0,1.0,1.7076,0.7782,1.1139,0.5385,-0.1775,0.1832,1,0,0,0,0,0,1
68,1604,1612,1194800.0,1194814.0,63.0,15.0,14.0,5232.0,73,94,1656,1,0,100,0.0531,0.4375,0.5714,0.0048,0.5333,1.0,1.0,1.7993,0.9031,1.1461,0.4286,-0.3512,0.2195,1,0,0,0,0,0,1
69,1610,1618,1944129.0,1944138.0,56.0,12.0,9.0,4674.0,71,101,1656,1,0,100,0.0459,0.2222,0.8889,0.0048,0.6667,1.0,1.0,1.7482,0.9031,0.9542,0.1111,-0.3479,0.1773,1,0,0,0,0,0,1
70,1617,1628,2095494.0,2095507.0,89.0,14.0,13.0,7804.0,77,100,1658,1,0,100,0.0362,0.3776,0.8461,0.0066,0.7857,1.0,1.0,1.9494,1.0414,1.1139,0.1539,-0.315,0.257,1,0,0,0,0,0,1
71,1589,1598,2493647.0,2493675.0,190.0,21.0,28.0,18416.0,81,116,1648,1,0,100,0.0607,0.246,0.3214,0.0055,0.4286,1.0,1.0,2.2787,0.9542,1.4472,0.6786,-0.2428,0.417,1,0,0,0,0,0,1
73,1067,1073,237702.0,237720.0,63.0,17.0,18.0,4616.0,58,93,1694,1,0,211,0.7332,0.4167,0.3333,0.0035,0.3529,1.0,1.0,1.7993,0.7782,1.2553,0.6667,-0.4276,0.215,1,0,0,0,0,0,1
74,623,631,309514.0,309526.0,60.0,9.0,12.0,4585.0,62,92,1694,1,0,211,0.7355,0.375,0.6667,0.0047,0.8889,1.0,1.0,1.7781,0.9031,1.0792,0.3333,-0.403,0.2018,1,0,0,0,0,0,1
75,446,453,200561.0,200567.0,30.0,8.0,6.0,3022.0,80,116,1692,1,0,143,0.5272,0.2857,0.8571,0.0041,0.875,1.0,0.0,1.4771,0.8451,0.7782,-0.1429,-0.213,0.1499,1,0,0,0,0,0,1
76,375,384,519677.0,519708.0,209.0,24.0,31.0,24034.0,90,143,1692,1,0,143,0.4433,0.2509,0.2903,0.0053,0.375,1.0,1.0,2.3201,0.9542,1.4914,0.7097,-0.1016,0.4613,1,0,0,0,0,0,1
77,125,134,1334420.0,1334443.0,156.0,20.0,23.0,18654.0,101,141,1352,1,0,80,0.1849,0.2464,0.3913,0.0067,0.45,1.0,1.0,2.1931,0.9542,1.3617,0.6087,-0.0658,0.3464,1,0,0,0,0,0,1
81,808,816,161967.0,161984.0,103.0,13.0,17.0,11430.0,97,126,1666,0,1,40,0.97,0.2427,0.4706,0.0048,0.6154,1.0,1.0,2.0128,0.9031,1.2305,0.5294,-0.133,0.2482,1,0,0,0,0,0,1
82,1327,1335,126951.0,126958.0,40.0,11.0,7.0,4014.0,89,111,1364,0,1,60,0.0425,0.2857,0.875,0.0059,0.7273,1.0,0.0,1.6021,0.9031,0.8451,-0.125,-0.216,0.1622,1,0,0,0,0,0,1
84,57,69,33796.0,33812.0,135.0,18.0,16.0,10915.0,55,97,1360,0,1,200,0.0838,0.2969,0.75,0.0088,0.6667,1.0,1.0,2.1303,1.0792,1.2041,0.25,-0.3683,0.3241,1,0,0,0,0,0,1
85,921,930,638468.0,638484.0,114.0,14.0,17.0,13173.0,94,140,1392,0,1,220,0.6638,0.2083,0.5625,0.0065,0.6429,0.9412,1.0,2.0569,0.9542,1.2041,0.4375,-0.0972,0.2583,1,0,0,0,0,0,1
86,830,837,837868.0,837888.0,82.0,13.0,20.0,9671.0,106,128,1392,0,1,220,0.7974,0.4143,0.35,0.005,0.5385,1.0,1.0,1.9138,0.8451,1.301,0.65,-0.0786,0.2532,1,0,0,0,0,0,1
93,1265,1278,31580.0,31602.0,211.0,18.0,22.0,17820.0,49,109,1364,0,1,100,0.1261,0.2622,0.5909,0.0095,0.7222,1.0,1.0,2.3243,1.1139,1.3424,0.4091,-0.3402,0.4729,1,0,0,0,0,0,1
94,1343,1352,106512.0,106519.0,52.0,9.0,7.0,5049.0,87,109,1366,0,1,100,0.0205,0.1746,0.7778,0.0066,1.0,1.0,0.0,1.716,0.9542,0.8451,-0.2222,-0.2414,0.1687,1,0,0,0,0,0,1
95,557,570,2425687.0,2425716.0,261.0,28.0,29.0,28261.0,91,126,1358,0,1,40,0.8203,0.3077,0.4483,0.0096,0.4643,1.0,1.0,2.4166,1.1139,1.4624,0.5517,-0.1541,0.6221,1,0,0,0,0,0,1
96,1058,1066,367429.0,367455.0,135.0,18.0,26.0,15385.0,103,126,1690,0,1,70,0.7385,0.351,0.3077,0.0047,0.4444,1.0,1.0,2.1303,0.9031,1.415,0.6923,-0.1097,0.3479,1,0,0,0,0,0,1
97,780,787,1044544.0,1044587.0,181.0,29.0,43.0,20264.0,99,125,1690,0,1,70,0.9231,0.3987,0.1628,0.0041,0.2414,1.0,1.0,2.2577,0.8451,1.6335,0.8372,-0.1253,0.4979,1,0,0,0,0,0,1
98,971,979,1246698.0,1246717.0,109.0,15.0,19.0,12212.0,100,127,1694,0,1,70,0.8442,0.2829,0.4211,0.0047,0.5333,1.0,1.0,2.0374,0.9031,1.2787,0.5789,-0.1247,0.2686,1,0,0,0,0,0,1
99,374,382,2670756.0,2670772.0,102.0,11.0,16.0,11385.0,95,127,1692,0,1,70,0.4421,0.2031,0.5,0.0047,0.7273,1.0,1.0,2.0086,0.9031,1.2041,0.5,-0.128,0.2384,1,0,0,0,0,0,1
100,1027,1034,2928247.0,2928259.0,51.0,8.0,12.0,5999.0,111,135,1692,0,1,70,0.7778,0.3929,0.5833,0.0041,0.875,1.0,1.0,1.7076,0.8451,1.0792,0.4167,-0.081,0.1892,1,0,0,0,0,0,1
101,1554,1564,3375744.0,3375765.0,134.0,13.0,21.0,13356.0,89,111,1690,0,1,70,0.1491,0.3619,0.4762,0.0059,0.7692,1.0,1.0,2.1271,1.0,1.3222,0.5238,-0.2213,0.3509,1,0,0,0,0,0,1
105,225,235,719009.0,719024.0,116.0,17.0,15.0,11656.0,71,127,1634,0,1,125,0.2754,0.2267,0.6667,0.0061,0.5882,1.0,1.0,2.0645,1.0,1.1761,0.3333,-0.215,0.266,1,0,0,0,0,0,1
107,1360,1373,2094748.0,2094776.0,251.0,22.0,28.0,28050.0,89,140,1632,0,1,125,0.3174,0.3104,0.4643,0.008,0.5909,1.0,1.0,2.3997,1.1139,1.4472,0.5357,-0.1269,0.6015,1,0,0,0,0,0,1
108,1155,1167,2124816.0,2124840.0,165.0,22.0,26.0,18742.0,87,134,1626,0,1,125,0.5646,0.4271,0.5,0.0074,0.5454,0.9231,1.0,2.2175,1.0792,1.3802,0.5,-0.1126,0.4763,1,0,0,0,0,0,1
109,1325,1334,1959035.0,1959052.0,112.0,16.0,17.0,11439.0,84,127,1358,0,1,40,0.0353,0.268,0.5294,0.0066,0.5625,1.0,1.0,2.0492,0.9542,1.2305,0.4706,-0.2021,0.2699,1,0,0,0,0,0,1
110,1260,1271,552783.0,552815.0,208.0,24.0,32.0,22478.0,84,126,1350,0,1,50,0.117,0.4091,0.3438,0.0082,0.4583,1.0,1.0,2.3181,1.0414,1.5051,0.6563,-0.1557,0.5822,1,0,0,0,0,0,1
112,1687,1696,150712.0,150740.0,167.0,24.0,28.0,9559.0,23,94,1698,0,1,90,0.0024,0.3373,0.3214,0.0053,0.375,1.0,1.0,2.2227,0.9542,1.4472,0.6786,-0.5528,0.417,1,0,0,0,0,0,1
113,1507,1516,188768.0,188800.0,200.0,24.0,32.0,21691.0,90,125,1696,0,1,90,0.2123,0.3056,0.2813,0.0053,0.375,1.0,1.0,2.301,0.9542,1.5051,0.7188,-0.1527,0.4763,1,0,0,0,0,0,1
116,1687,1694,348227.0,348257.0,140.0,12.0,30.0,9253.0,38,101,1698,0,1,90,0.0047,0.3333,0.2333,0.0041,0.5833,1.0,1.0,2.1461,0.8451,1.4771,0.7667,-0.4836,0.3509,1,0,0,0,0,0,1
118,757,766,487568.0,487588.0,121.0,13.0,20.0,13345.0,89,134,1698,0,1,90,0.8916,0.3278,0.45,0.0053,0.6923,1.0,1.0,2.0828,0.9542,1.301,0.55,-0.1384,0.3068,1,0,0,0,0,0,1
122,1579,1590,939827.0,939860.0,242.0,24.0,33.0,24672.0,90,119,1698,0,1,90,0.1272,0.3333,0.3333,0.0065,0.4583,1.0,1.0,2.3838,1.0414,1.5185,0.6667,-0.2035,0.5999,1,0,0,0,0,0,1
124,5,13,1137189.0,1137216.0,134.0,20.0,27.0,14605.0,94,125,1694,0,1,90,0.0059,0.3796,0.2963,0.0047,0.4,1.0,1.0,2.1271,0.9031,1.4314,0.7037,-0.1485,0.3601,1,0,0,0,0,0,1
127,10,22,1678200.0,1678232.0,227.0,28.0,32.0,23706.0,77,127,1698,0,1,90,0.0118,0.4089,0.375,0.0071,0.4286,1.0,1.0,2.356,1.0792,1.5051,0.625,-0.1841,0.633,1,0,0,0,0,0,1
129,9,18,1743219.0,1743250.0,227.0,22.0,31.0,21864.0,74,126,1698,0,1,90,0.0106,0.1864,0.2903,0.0053,0.4091,1.0,1.0,2.356,0.9542,1.4914,0.7097,-0.2475,0.4613,1,0,0,0,0,0,1
134,923,931,1120157.0,1120180.0,120.0,17.0,23.0,12238.0,84,124,1688,1,0,70,0.8969,0.3478,0.3478,0.0047,0.4706,1.0,1.0,2.0792,0.9031,1.3617,0.6522,-0.2033,0.3125,1,0,0,0,0,0,1
136,1251,1256,458923.0,458941.0,70.0,15.0,18.0,8051.0,106,127,1356,0,1,40,0.1475,0.2222,0.2778,0.0037,0.3333,1.0,1.0,1.8451,0.699,1.2553,0.7222,-0.1015,0.1954,1,0,0,0,0,0,1
137,83,92,3528981.0,3529007.0,180.0,18.0,26.0,19118.0,80,127,1362,0,1,40,0.1219,0.2308,0.3462,0.0066,0.5,1.0,1.0,2.2553,0.9542,1.415,0.6539,-0.1702,0.3882,1,0,0,0,0,0,1
138,375,386,1063504.0,1063527.0,170.0,18.0,23.0,18052.0,79,127,1698,0,1,60,0.4417,0.3281,0.4783,0.0065,0.6111,1.0,1.0,2.2304,1.0414,1.3617,0.5217,-0.1704,0.4187,1,0,0,0,0,0,1
139,1136,1142,1421726.0,1421746.0,83.0,14.0,20.0,9917.0,110,134,1696,0,1,60,0.6533,0.3083,0.3,0.0035,0.4286,1.0,1.0,1.9191,0.7782,1.301,0.7,-0.0666,0.2288,1,0,0,0,0,0,1
141,1331,1336,4270168.0,4270218.0,177.0,15.0,50.0,17388.0,65,126,1360,1,0,100,0.0353,0.292,0.1,0.0037,0.3333,1.0,1.0,2.248,0.699,1.699,0.9,-0.2325,0.4138,1,0,0,0,0,0,1
142,172,183,212157.0,212188.0,221.0,26.0,31.0,22508.0,66,125,1358,0,1,40,0.2533,0.3519,0.3548,0.0081,0.4231,1.0,1.0,2.3444,1.0414,1.4914,0.6452,-0.2043,0.5642,1,0,0,0,0,0,1
143,30,38,2277670.0,2277688.0,109.0,16.0,18.0,11573.0,89,126,1358,0,1,40,0.0442,0.2431,0.4444,0.0059,0.5,1.0,1.0,2.0374,0.9031,1.2553,0.5556,-0.1705,0.2583,1,0,0,0,0,0,1
150,18,26,471253.0,471281.0,168.0,24.0,28.0,20267.0,102,143,1360,1,0,70,0.0265,0.25,0.2857,0.0059,0.3333,1.0,1.0,2.2253,0.9031,1.4472,0.7143,-0.0575,0.3725,1,0,0,0,0,0,1
151,16,26,786881.0,786900.0,136.0,19.0,19.0,16571.0,99,143,1358,1,0,70,0.0236,0.2842,0.5263,0.0074,0.5263,1.0,1.0,2.1335,1.0,1.2787,0.4737,-0.0481,0.3212,1,0,0,0,0,0,1
152,19,28,808173.0,808199.0,119.0,26.0,26.0,14471.0,97,143,1358,1,0,70,0.028,0.4915,0.3462,0.0066,0.3462,1.0,1.0,2.0756,0.9542,1.415,0.6539,-0.05,0.3882,1,0,0,0,0,0,1
153,16,26,1377748.0,1377782.0,257.0,21.0,34.0,31058.0,91,151,1356,1,0,70,0.0236,0.2441,0.2941,0.0074,0.4762,1.0,1.0,2.4099,1.0,1.5315,0.7059,-0.0559,0.5626,1,0,0,0,0,0,1
155,13,21,1488612.0,1488636.0,105.0,18.0,24.0,13943.0,120,150,1358,1,0,70,0.0192,0.4531,0.3333,0.0059,0.4444,1.0,1.0,2.0212,0.9031,1.3802,0.6667,0.0374,0.3241,1,0,0,0,0,0,1
156,15,24,1620686.0,1620708.0,154.0,20.0,22.0,19711.0,103,156,1358,1,0,70,0.0221,0.2222,0.4091,0.0066,0.45,1.0,1.0,2.1875,0.9542,1.3424,0.5909,0.0,0.3329,1,0,0,0,0,0,1
157,17,26,1651888.0,1651909.0,145.0,18.0,21.0,18695.0,101,156,1358,1,0,70,0.025,0.2328,0.4286,0.0066,0.5,1.0,1.0,2.1614,0.9542,1.3222,0.5714,0.0073,0.3197,1,0,0,0,0,0,1
158,1166,1185,2258648.0,2258662.0,123.0,33.0,17.0,15858.0,116,143,1708,1,0,100,0.6124,0.5376,0.7368,0.0111,0.5758,0.8235,0.0,2.0899,1.2787,1.1461,-0.2632,0.0072,0.4399,0,1,0,0,0,0,1
159,7,19,21512.0,21518.0,56.0,13.0,6.0,6632.0,108,132,1354,1,0,70,0.0103,0.2222,0.5,0.0089,0.9231,1.0,0.0,1.7482,1.0792,0.7782,-0.5,-0.0748,0.1773,0,1,0,0,0,0,1
160,37,53,50442.0,50467.0,226.0,33.0,31.0,25563.0,100,132,1354,1,0,70,0.0547,0.435,0.64,0.0118,0.4848,0.8065,1.0,2.3541,1.2041,1.3979,0.36,-0.1163,0.6574,0,1,0,0,0,0,1
162,193,205,82308.0,82319.0,84.0,19.0,11.0,9155.0,99,118,1354,1,0,70,0.2851,0.3636,0.9167,0.0089,0.6316,1.0,0.0,1.9243,1.0792,1.0414,-0.0833,-0.1485,0.2432,0,1,0,0,0,0,1
163,145,159,102099.0,102111.0,63.0,20.0,15.0,7752.0,109,140,1354,1,0,70,0.2142,0.625,0.8571,0.0103,0.7,0.8,0.0,1.7993,1.1461,1.0792,-0.1429,-0.0387,0.2901,0,1,0,0,0,0,1
169,94,106,190885.0,190920.0,205.0,33.0,36.0,22913.0,98,125,1354,1,0,70,0.1389,0.5119,0.3429,0.0089,0.3636,0.9722,1.0,2.3117,1.0792,1.5441,0.6571,-0.1268,0.6868,0,1,0,0,0,0,1
170,10,21,204933.0,204953.0,135.0,16.0,23.0,8781.0,46,86,1356,1,0,70,0.0148,0.3864,0.55,0.0081,0.6875,0.8696,1.0,2.1303,1.0414,1.301,0.45,-0.4918,0.3663,0,1,0,0,0,0,1
172,16,24,240377.0,240390.0,71.0,12.0,13.0,6820.0,86,110,1356,1,0,70,0.0236,0.3173,0.6154,0.0059,0.6667,1.0,1.0,1.8513,0.9031,1.1139,0.3846,-0.2496,0.2105,0,1,0,0,0,0,1
173,144,150,254652.0,254670.0,56.0,16.0,19.0,6593.0,109,126,1354,1,0,70,0.2127,0.4815,0.3333,0.0044,0.375,0.9474,1.0,1.7482,0.7782,1.2553,0.6667,-0.0802,0.215,0,1,0,0,0,0,1
174,30,39,274230.0,274244.0,54.0,17.0,15.0,5912.0,97,132,1354,1,0,70,0.0443,0.5714,0.6429,0.0066,0.5294,0.9333,1.0,1.7324,0.9542,1.1461,0.3571,-0.1447,0.2359,0,1,0,0,0,0,1
176,166,174,303149.0,303167.0,82.0,22.0,21.0,9467.0,105,127,1358,1,0,70,0.2445,0.4306,0.4444,0.0059,0.3636,0.8571,1.0,1.9138,0.9031,1.2553,0.5556,-0.098,0.2583,0,1,0,0,0,0,1
177,158,168,319303.0,319317.0,69.0,14.0,14.0,7659.0,98,125,1358,1,0,70,0.2327,0.5071,0.7143,0.0074,0.7143,1.0,1.0,1.8389,1.0,1.1461,0.2857,-0.1328,0.2532,0,1,0,0,0,0,1
178,174,194,334304.0,334316.0,114.0,38.0,21.0,13595.0,106,134,1354,1,0,70,0.257,0.525,0.6,0.0148,0.5263,0.5714,0.0,2.0569,1.301,1.0792,-0.4,-0.0683,0.3977,0,1,0,0,0,0,1
179,513,529,350481.0,350500.0,158.0,28.0,19.0,15719.0,89,111,1354,1,0,70,0.7577,0.4803,0.8421,0.0118,0.5714,1.0,1.0,2.1987,1.2041,1.2787,0.1579,-0.2228,0.5029,0,1,0,0,0,0,1
180,25,37,362724.0,362736.0,57.0,15.0,12.0,4557.0,70,93,1354,1,0,70,0.0369,0.6042,1.0,0.0089,0.8,1.0,0.5,1.7559,1.0792,1.0792,0.0,-0.3754,0.2583,0,1,0,0,0,0,1
181,9,18,374580.0,374591.0,74.0,15.0,11.0,4347.0,36,84,1356,1,0,70,0.0133,0.2525,0.8182,0.0066,0.6,1.0,1.0,1.8692,0.9542,1.0414,0.1818,-0.5411,0.2051,0,1,0,0,0,0,1
182,185,199,387402.0,387414.0,75.0,23.0,12.0,8535.0,104,127,1356,1,0,70,0.2729,0.5536,0.8571,0.0103,0.6087,1.0,0.0,1.8751,1.1461,1.0792,-0.1429,-0.1109,0.2901,0,1,0,0,0,0,1
186,34,42,451067.0,451079.0,59.0,13.0,12.0,5608.0,85,103,1354,1,0,70,0.0502,0.3854,0.6667,0.0059,0.6154,1.0,1.0,1.7708,0.9031,1.0792,0.3333,-0.2574,0.2018,0,1,0,0,0,0,1
187,1147,1160,463836.0,463848.0,74.0,19.0,13.0,8915.0,109,132,1354,1,0,70,0.2866,0.5256,0.9231,0.0096,0.6842,0.9231,0.0,1.8692,1.1139,1.0792,-0.0769,-0.0588,0.2739,0,1,0,0,0,0,1
188,260,272,477075.0,477082.0,55.0,12.0,7.0,6106.0,101,124,1356,1,0,70,0.3835,0.3452,0.5833,0.0088,1.0,1.0,0.0,1.7404,1.0792,0.8451,-0.4167,-0.1327,0.1892,0,1,0,0,0,0,1
190,225,244,506783.0,506794.0,123.0,28.0,16.0,13148.0,95,118,1356,1,0,70,0.3319,0.4115,0.5789,0.014,0.6786,0.6875,0.0,2.0899,1.2787,1.0414,-0.4211,-0.1649,0.3494,0,1,0,0,0,0,1
191,369,380,518261.0,518272.0,78.0,24.0,12.0,8388.0,95,119,1356,1,0,70,0.5443,0.3554,1.0,0.0081,0.4583,0.9167,0.5,1.8921,1.0414,1.0414,0.0,-0.1599,0.23,0,1,0,0,0,0,1
192,436,442,530968.0,530985.0,63.0,17.0,17.0,6374.0,90,116,1356,1,0,70,0.6431,0.3823,0.3529,0.0044,0.3529,1.0,1.0,1.7993,0.7782,1.2305,0.6471,-0.2096,0.2083,0,1,0,0,0,0,1
